"Coll_date","Coll_data","Species","count","w_var","w_mean","w_median","w_max","w_min","w_sd","w_cv","b_var","b_mean","b_median","b_max","b_min","b_sd","b_cv"
20150722,"MCE1500","Abraxas persimplex",13,0.866580769230768,19.5615384615385,19.66,21.06,17.94,0.930903200784468,4.75884451836338,0.535591025641026,13.0707692307692,12.97,14.23,11.35,0.73184084720725,5.5990648621082
20150724,"MCE1750","Abraxas persimplex",21,1.55909904761905,19.4990476190476,19.66,22.22,17.27,1.24863887798636,6.40358904896788,0.730254761904762,13.0261904761905,13.01,14.44,11.5,0.854549449654472,6.56024070288573
20150720,"MCE2000","Abraxas tenellula",23,1.94391739130435,19.7391304347826,20.01,21.97,15.28,1.3942443800512,7.06335258616245,0.570268398268398,13.4727272727273,13.445,14.89,12.38,0.755161173702938,5.60510992627012
20150723,"MCE1750","Abraxas tenuisuffusa",14,1.3473478021978,18.3235714285714,17.9,20.94,16.58,1.16075311853891,6.33475369724583,0.329381818181818,12.13,11.92,13.14,11.36,0.573917954225008,4.73139286253098
20150723,"MCE3000","Alcis taiwanensis",10,1.31004888888889,20.484,20.54,22.36,18.41,1.14457367123698,5.58764729172513,1.54064,15.582,15.92,17.16,13.1,1.24122520116214,7.96576306739919
20150721,"MCE1500","Alcis taiwanovariegata",13,1.87503,17.456,18.11,18.62,15.55,1.36931734817025,7.84439360775806,1.28880769230769,14.2507692307692,14.68,15.72,12.43,1.1352566636262,7.96628340016226
20150722,"MCE1500","Alcis taiwanovariegata",22,1.14432316017316,16.9277272727273,16.985,19.02,14.66,1.06973041471819,6.3193977400715,1.17916796536796,13.6118181818182,13.66,15.34,11.38,1.08589500660421,7.97758970990874
20150722,"MCE1750","Alcis taiwanovariegata",18,1.43916732026144,17.3844444444444,17.575,19.8,14.92,1.1996529999385,6.90072670295697,1.22228235294118,14.5866666666667,14.83,16.42,12.73,1.10556879159154,7.5793107284612
20150723,"MCE1750","Alcis taiwanovariegata",28,0.963078703703704,17.1625,17.13,18.95,15.21,0.9813657339156,5.7180814794791,1.90940251322751,13.8189285714286,14.08,15.83,11.55,1.38181131607304,9.99940993204073
20150720,"MCE0750","Ambulyx kuangtungensis",11,0.886999999999999,36.6333333333333,36.49,37.9,35.49,0.941806774237688,2.57090111256876,4.47737636363637,32.9818181818182,33.24,36.6,30.08,2.11598118225006,6.41559895390041
20150721,"MCE0500","Ambulyx kuangtungensis",14,0.703009090909093,35.495,35.555,37.13,34.26,0.838456373885423,2.36218164216206,3.39842637362637,31.8442857142857,31.68,35.89,29.04,1.84348213271145,5.78905160332878
20150721,"MCE2000","Apithecia sp.",10,0.829898888888889,12.341,12.245,13.98,11.11,0.910987864292873,7.38179940274591,0.542590476190476,9.16285714285714,9.55,9.91,8.26,0.736607409812362,8.03905810521754
